Date:  17:47, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 2 – Side impact(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
408  ,2.993e+03   ,745.33  ,898.9  ,1281.9
409  ,2.003e+03   ,747.33  ,896.9  ,1281.9
410  ,1.087e+05   ,754.59  ,896.9  ,1281.9
411  ,5.478e+02   ,810.99  ,913.25  ,1281.9
412  ,3.718e+02   ,816.79  ,910.8  ,1281.9
413  ,3.709e+02   ,820.88  ,923.76  ,1281.9
414  ,4.538e+02   ,811.23  ,916.68  ,1281.9
415  ,1.314e+03   ,808.16  ,920.85  ,1281.9
416  ,5.753e+02   ,817.82  ,927.93  ,1281.9
417  ,9.706e+02   ,818.69  ,929.43  ,1289.5
418  ,5.160e+02   ,818.52  ,929.43  ,1283.4
419  ,5.633e+02   ,822.2  ,929.43  ,1290.9
420  ,5.385e+04   ,742.33  ,929.43  ,1283.4
421  ,5.630e+04   ,750.21  ,929.43  ,1283.4
422  ,6.468e+04   ,750.36  ,929.43  ,1291.5
423  ,1.187e+05   ,755.23  ,929.43  ,1291.5
424  ,7.156e+04   ,755.37  ,929.43  ,1283.4
425  ,5.696e+04   ,772.21  ,929.43  ,1283.4
426  ,1.053e+05   ,772.36  ,929.43  ,1291.5
427  ,4.789e+04   ,777.23  ,929.43  ,1291.5
428  ,2.707e+04   ,777.37  ,929.43  ,1283.4
429  ,9.656e+03   ,794.21  ,929.43  ,1283.4
430  ,2.456e+04   ,794.36  ,929.43  ,1291.5
431  ,9.830e+03   ,799.23  ,929.43  ,1291.5
432  ,5.003e+03   ,799.37  ,929.43  ,1283.4
433  ,4.079e+04   ,611.32  ,927.79  ,1303.8
434  ,1.654e+04   ,611.32  ,927.57  ,1303.8
435  ,1.226e+05   ,612.82  ,929.34  ,1305
436  ,2.316e+04   ,612.82  ,927.79  ,1303.8
437  ,1.871e+04   ,612.82  ,927.57  ,1303.8
438  ,5.728e+04   ,628.32  ,921.8  ,1283.7
439  ,1.980e+05   ,628.32  ,926.93  ,1283.7
440  ,1.252e+05   ,628.39  ,927.54  ,1283.7
441  ,4.931e+04   ,626.82  ,927.79  ,1283.7
442  ,5.079e+04   ,626.82  ,927.79  ,1302.2
